pub_date,author,img_url,pid,text,response,issue,desired_knowledge
10/13/18 23:07,payniv,https://scontent-lax3-2.cdninstagram.com/vp/32af4399a2531be77931b5c136fa69a0/5C4EF50B/t51.2885-15/e35/42556294_2180385148903344_8049602037729397624_n.jpg,Bo4tMLHhP3P,"Wow very nice ! Is this a busy street? No, right?",@payniv thank you! This is a partly busy street.😊,?,busyness of road
10/13/18 22:44,ethanthegarden,https://scontent-lax3-2.cdninstagram.com/vp/9df58cde2cb88bcf2dbe39aafc339f12/5C42BCAB/t51.2885-15/e35/42440418_1971905472890294_5226244625956296906_n.jpg,Bo24fnSnUGr,"Wow , what an amazing photo here ! Is this a river? No, right?",@ethanthegarden Oh Thanks! It's just a pond🤣 ,*,type of body of water
10/13/18 22:19,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/77103f4464af9ae36e2991d2e4c8014d/5C589358/t51.2885-15/e35/42434049_571895906578847_3561344610576030217_n.jpg,Bo40F4KHQHL,"Wow very nice ! Is this a rural setting? No, right?","@bee.amela yes, not far from Munich in Bavaria 🙏👍",,ruralness of location
10/13/18 20:45,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/624af97490539813d3cadb6907078404/5C52B1FD/t51.2885-15/e35/42944918_1442790399157502_4011330113439172108_n.jpg,Bo46u8rnUJJ,"Ohh very nice ! Is this a modern photo? No, right?",@bee.amela it is!,,moderness of photo
10/13/18 19:42,ethanthegarden,https://scontent-lax3-2.cdninstagram.com/vp/5a281dd07ea468d2a5ad09ae8e32c21c/5C4438CC/t51.2885-15/e35/43736950_1831916706855949_4808026843547147054_n.jpg,Bo24gCxllmP,"Wow very nice ! Is this a ski resort? No, right?","@ethanthegarden no it’s not a ski resort, this is shot on the observatory deck on the top of the ropeway station. However I believe there are some great ski resorts around this area.",,type of location 
10/13/18 18:46,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/764d3da56574cfd6b8cbf2c4ed2b0d30/5C573318/t51.2885-15/e35/43478262_541686269612216_489655410646787290_n.jpg,Bo5Bjw9liEv,"Ohh very nice ! Is this a modern bathroom? No, right?","@bee.amela no, is a living space",,modernness of room
10/13/18 18:25,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/2bf9793b750b2967987c06b3e20d534c/5C3FBC53/t51.2885-15/e35/42840268_2082076172053313_7037445770748137729_n.jpg,Bo5Byt0jjip,"Very nice photo ! Is the person happy? Yes, right?",@ceelvancho 😃Yes.,,person's emotion
10/13/18 18:16,payniv,https://scontent-lax3-2.cdninstagram.com/vp/e48b2e555fb47fe3d853e0e42927a015/5C3E6418/t51.2885-15/e35/42894180_1830744986980701_6626305648501510271_n.jpg,Bo463O4APqM,"Ohh nice ! What is the item on the right? Can, right?",@payniv they are both our Bunny hoodies! Available in pink and grey! 💕,,object in image
10/13/18 17:54,payniv,https://scontent-lax3-2.cdninstagram.com/vp/ef91ad13d559a789a75c2f1d424bb768/5C4693F0/t51.2885-15/e35/43063024_335658660526853_8274787910003118463_n.jpg,Bo4z7exHIz0,"Ohh nice ! What is the animal doing? Eating, right?","@payniv Yes, she was eating and walking with her calf.",,what the animal is doing
10/13/18 17:49,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/b7d7a80e735a01c19b7bda768b0cd74f/5C452988/t51.2885-15/e35/42341936_421558358248679_6351493206868519214_n.jpg,Bo46v8EDbZd,"Such a beautiful looking room ! Is this a modern kitchen? No, right?",@bee.amela Yes! Very modern and on trend with the market in most areas near us. This is a good one!,,modernness of kitchen
10/13/18 17:25,payniv,https://scontent-lax3-2.cdninstagram.com/vp/6170f0f3c66ddb89a7e0d743d40d54f8/5C49BE15/t51.2885-15/e35/43752329_171866103741293_6609724096894825834_n.jpg,Bo46zWBhPtN,"Ohh nice ! What is the animal doing? Standing, right?",@payniv the animals just are playing togheter.,,what the animal is doing
10/13/18 17:24,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/d191e17f08a87334c6b4a8c771b3c946/5C5FEA48/t51.2885-15/e35/43018289_357840344983755_3803280407198365482_n.jpg,Bo4tO0ynK0J,"Wow very nice ! What is the player 's number? <unk>, right?",@bee.amela 🤷🏻‍♂️,,player's number
10/13/18 17:17,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/c136e5fafaa0183640867a267c12abfb/5BC79EAA/t51.2885-15/e15/43083221_329899637761719_3594767820689079867_n.jpg,Bo468zslSSt,"Ohh very nice ! Is this a modern building? No, right?",@bee.amela it’s in a church,,
10/13/18 17:15,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/9e2ac0f3858761ff2fdb4fc3900d9e59/5C4813D7/t51.2885-15/e35/43397513_719297455098675_641370203410167527_n.jpg,Bo469R2FSpH,"Ohh , awesome photo there ! Is this a modern building? No, right?","@bee.amela thanks. Nou it’s a door in the Monut Sant Michael, France. The castle is the 704 dc.",,modernness of building
10/13/18 16:31,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/da70b1baa739f554a56dc0fff9caa3cf/5C4AB598/t51.2885-15/e35/43255421_1406979612737859_2409432157096774106_n.jpg,Bo40E8sgDv5,"Wow , very amazing photo here ! Is the cat asleep? No, right?","@ceelvancho thank yoouu , No , he's not asleep 😸🌞",,what the cat is doing
10/13/18 16:26,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/52de10ac4cba37d0de12b0049abb9b33/5C487D44/t51.2885-15/e35/43026425_1744024079059392_3894326193115294258_n.jpg,Bo4K25RleL1,"Ohh very nice ! Is the bear in its natural habitat? No, right?",@ceelvancho doh!,,
10/13/18 16:17,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/09085be9c580ea5efa7b3b659f476886/5C5B6AB8/t51.2885-15/e35/42941889_183847629169380_6719328497537760155_n.jpg,Bo40GIDne7t,"Very beautiful photo ! What is the lady doing? Resting, right?",@ceelvancho basking in the sunshine,,what the lady is doing
10/13/18 16:17,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/5943b9e9592a65214e072eae24bb14d6/5C3BD488/t51.2885-15/e35/42344245_325658131576789_2239506746326004635_n.jpg,Bo40A-6CsXp,"Very nice ! Is this a hotel room? No, right?",@ceelvancho no a house,,
10/13/18 16:11,ballintama,https://scontent-lax3-2.cdninstagram.com/vp/662cd4ec3c2b3b425d90a94e87db6886/5C5BB197/t51.2885-15/e35/42961169_176095263313043_2129165573827854336_n.jpg,Bo4RwqyFMDy,"Ahhh very nice ! What is the color of the umbrella? Pink, right?","@ballintama what do you mean by ""umbrella""? :)",,color of cat
10/13/18 15:58,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/7bba9f881e700fcc7eda1434abbd9ce2/5C591F7B/t51.2885-15/e35/42490955_307267606534586_9033718655183909070_n.jpg,Bo4K5wWgkGj,"Ahhh very nice ! Is this a real snowman? No, right?",@ceelvancho it is a polo Ralph Lauren hat 🧢. I do not know about a snowman your talking about.,,object pictured on hat
10/13/18 15:24,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/b500f95c479cdf4dd4e8fdaa0fff1391/5C54570E/t51.2885-15/e35/43661438_358755187999625_6806274606629159449_n.jpg,Bo4mYT2gwa7,"Wow , what an amazing photo here ! Is this a beach? Yes, right?","@ceelvancho Thank you! It is the promenade at Mallory Square, Key West",,type of location 
10/13/18 15:19,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/0c6d892328c7a3ca223ce6fe4e7ad1ca/5C56529A/t51.2885-15/e35/42937065_1868000746609037_9183562356605708717_n.jpg,Bo4tFByijxf,"Ohh very nice ! What is the dog 's head resting on? Nothing, right?",@bee.amela yes,,object dog's head is resting on
10/13/18 15:19,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/2c56b351e0431d80852b246f697fec8b/5C58C77B/t51.2885-15/e35/43218572_299392207547121_5628975745858607233_n.jpg,Bo4fel2FrHu,"Wow , very amazing photo here ! What is the green vegetable in the bowl? Broccoli, right?","@ceelvancho there is spinach, carrot, cucumber, kimchi, mushroom, pickled cucumber, zucchini, bean sprouts, bulgogi, a fried egg & gochugan sauce!",,name of green vegetables in bowl
10/13/18 15:18,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/f44b2d2d0ac447b0ad53265b713c938e/5C58C135/t51.2885-15/e35/43661785_290911545077497_7779531072031122991_n.jpg,Bo4tNWxHytr,"Wow , what a very amazing photo here ! Is this a church? No, right?","@bee.amela Quiero decir, de una construccion clasica de esta comunidad.",,type of building
10/13/18 15:15,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/f44b2d2d0ac447b0ad53265b713c938e/5C58C135/t51.2885-15/e35/43661785_290911545077497_7779531072031122991_n.jpg,Bo4tNWxHytr,"Wow , what a very amazing photo here ! Is this a church? No, right?","@bee.amela Thank you so much. Pero no, no es una iglesia. Se trata de una clase de construccion catalana (de cataluña)",,
10/13/18 15:10,payniv,https://scontent-lax3-2.cdninstagram.com/vp/00e82cd82a4f4d1f909e67262c992d7f/5C3E5C79/t51.2885-15/e35/43303466_336783077082583_6822950961120805461_n.jpg,Bo4tLyUh4sC,"Nice photo ! Is this a puppy? No, right?",@payniv It is a cat! 😍,,type of animal
10/13/18 14:55,ballintama,https://scontent-lax3-2.cdninstagram.com/vp/7db47a16ea0a6971e9117b56396393ad/5C433B25/t51.2885-15/e35/42535275_504227906761335_3551108205294979116_n.jpg,Bo4mWT_i1bs,"Cute ! What is the cat doing? Eating, right?","@ballintama No, they were playing on the bed 😄",,what the cat is doing
10/13/18 14:41,ballintama,https://scontent-lax3-2.cdninstagram.com/vp/15a20f90a9ad634db0b383c0fdf21714/5C50F8B1/t51.2885-15/e35/43354098_1113424568815869_6193594706304172032_n.jpg,Bo24ciQAPoD,"Wow , what an amazing photo here ! Is this a hotel room? Yes, right?",@ballintama no lve it's a Malibu home,,type of location 
10/13/18 14:40,payniv,https://scontent-lax3-2.cdninstagram.com/vp/159d7c78b5aa2bcf5c92660e954017f8/5C5DEB36/t51.2885-15/e35/42951680_918565131675218_6715281294681511571_n.jpg,Bo4mYxHFArQ,"Ohh very nice ! What color are the flowers? Red, right?",@payniv thanks 🙏 not all flowers 🌺 are red,,color of flowers
10/13/18 14:38,ethanthegarden,https://scontent-lax3-2.cdninstagram.com/vp/6b115a5a55f83a27998abacd623577d1/5C49321D/t51.2885-15/e35/43778231_341675453254536_3966826499997606955_n.jpg,Bo2c-9yF9xS,"Ohh very nice ! What is the cat doing? Standing, right?",@ethanthegarden what he is really doing is getting all my clothes “furry” 😹😹😹,,what the cat is doing
10/13/18 14:31,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/8402b7b96ad71de7a660af3f65c7f8e2/5C5DC884/t51.2885-15/e35/43133304_329444047633876_8580140881853103238_n.jpg,Bo4mNaXnOkV,"Nice looking set ! What is the cat doing? Sitting, right?",@bee.amela ❤️😸,,what the cat is doing
10/13/18 14:30,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/8402b7b96ad71de7a660af3f65c7f8e2/5C5DC884/t51.2885-15/e35/43133304_329444047633876_8580140881853103238_n.jpg,Bo4mNaXnOkV,"Nice looking set ! What is the cat doing? Sitting, right?",@bee.amela holding each other,,
10/13/18 14:26,ballintama,https://scontent-lax3-2.cdninstagram.com/vp/d6f8ac7d37ae996dea05929fafe56e63/5C5A22FE/t51.2885-15/e35/42854841_526965101063960_6168727511380262912_n.jpg,Bo4fe7RhrRv,"Ohh nice ! Is this a church? No, right?",@ballintama yes! 😍,,type of building
10/13/18 14:25,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/6a61c2241951dfd2e4488caf1a65c225/5C3C3932/t51.2885-15/e35/42961171_1933547700283216_8785796147172482664_n.jpg,Bo4mOsADZiG,"Very nice photo ! Is this a modern building? No, right?",@ceelvancho Thank you!,,modernness of building
10/13/18 14:12,ballintama,https://scontent-lax3-2.cdninstagram.com/vp/0d87decaa55dd50647949135d129c1e8/5C5A7595/t51.2885-15/e35/43984625_2075987072711609_6931407739210983512_n.jpg,Bo24ecmheMn,"I like the plush sofa ! Is this a healthy meal? Yes, right?",@ballintama of course it’s healthy. It’s not fast food and made in my kitchen. ❤️,,healthiness of meal
10/13/18 14:05,ethanthegarden,https://scontent-lax3-2.cdninstagram.com/vp/234eafa6cf3e8dc09855599cef65695b/5C3F0B3D/t51.2885-15/e35/43354103_748455755501034_3983844517994107911_n.jpg,Bo4Rvudl1SZ,"Wow , very amazing photo here ! Is this a beach? No, right?",@ethanthegarden Thank you very much ❤️,,type of location
10/13/18 13:51,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/b3cc47f61607af432be2941f3e5e55fa/5C3F04F9/t51.2885-15/e35/42370986_139394290354024_8326782102819881738_n.jpg,Bo4YmtWFrD4,"Wow very nice ! What is the clock for? <unk>, right?",@bee.amela 😂,,object on wall
10/13/18 13:50,ballintama,https://scontent-lax3-2.cdninstagram.com/vp/b2a349ba1e01832bee9139419dbd6ce4/5C4E7422/t51.2885-15/e35/43816527_538410743239097_5575844913403673316_n.jpg,Bo4RoJ4nIWG,"Wow , very amazing photo here ! Is the cat looking at the camera? Yes, right?",@ballintama yeah,,
10/13/18 13:22,ethanthegarden,https://scontent-lax3-2.cdninstagram.com/vp/eb7d4176865b00db343ed7ebd31acf70/5C3E76C6/t51.2885-15/e35/42796833_567283073706841_201385186401631397_n.jpg,Bo4fgH5Hs4m,"Ohh very nice ! Is the horse walking? Yes, right?",@ethanthegarden yes😊,,what the lady is doing
10/13/18 13:21,ethanthegarden,https://scontent-lax3-2.cdninstagram.com/vp/3e06cada09d3d1481dd857e60e34e5da/5C491498/t51.2885-15/e35/43914036_548039482290371_6112242781562863616_n.jpg,Bo4ffKJCJbv,"Ohh very nice ! What is on the person 's head? Hat, right?",@ethanthegarden ahahah. Not hat. Just mad mind😂😂,,object on person's head
10/13/18 13:20,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/cd9f494852bea8bc39503afd21f8aef0/5C54C55A/t51.2885-15/e35/42392361_386651211872766_5184892157191427667_n.jpg,Bo4fdi-lDdF,"Wow , what an amazing photo here ! Is this a forest? No, right?",@ceelvancho this are the Belgian Ardennes,,type of landscape
10/13/18 13:18,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/6e9d66f59f415cf9903558d683d12e14/5C5B288E/t51.2885-15/e35/43529398_339004523535472_5737961066105971187_n.jpg,Bo4YnoNH2W5,"Ohh very nice ! Is this a healthy meal? Yes, right?",@ceelvancho 🙏🏻🙏🏻🙏🏻,,healthiness of meal
10/13/18 13:15,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/a3dbcbc4175b16f4b96c1761c28297ff/5C44A271/t51.2885-15/e35/43244801_2110819165624675_272020979327051593_n.jpg,Bo4fdaZlN5N,"That looks great ! What is the green vegetable? Grass, right?","@bee.amela thank you, it's lambs lettuce and cress",,identification of green vegetables
10/13/18 12:34,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/10b1d9b2b47f0ce290ba5cf926bb776e/5C5157F2/t51.2885-15/e35/42376308_535977713481689_8003245102837487735_n.jpg,Bo4Yn_4n_Vf,"Wow very nice ! Is this a river? Yes, right?",@bee.amela Thanks 🌹It is Moscow river.,,type of body of water
10/13/18 12:23,ballintama,https://scontent-lax3-2.cdninstagram.com/vp/eb4724f06260d1e1978161a5a32f0d49/5C40E29C/t51.2885-15/e35/42809383_1359574084176810_5140082505924251564_n.jpg,Bo4RoBxAHk0,"Ohh nice ! What is on the person 's face? Beard, right?",@ballintama no😏,,
10/13/18 12:21,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/c3a331832e954b73ae72d47aa409b67d/5C4C9320/t51.2885-15/e35/43112819_282383625941016_5498890242997048612_n.jpg,Bo4YokUHOM-,"Wow very nice ! Is this a hotel room? Yes, right?","@ceelvancho thanks🙃. no, this is my room at home!🌿",,type of location
10/13/18 12:11,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/ab2451eaa9a729972fafb5db0f9814a9/5C47182E/t51.2885-15/e35/43411655_352885105450974_8716177488315047177_n.jpg,Bo2PDXaAEpv,"Ahhh so cute ! Is the cat asleep? No, right?",@ceelvancho not yet ☺,,what the cat is doing
10/13/18 12:09,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/d4301b071ab39c3d2bd2e07649cdcf0d/5C3F7453/t51.2885-15/e35/42451507_177180839834318_7430373856557081277_n.jpg,Bo2BmDjFAtJ,"Wow very nice ! Is the cat on the floor? No, right?",@ceelvancho no hes not on the floor and thank you,,when cat is located
10/13/18 12:08,payniv,https://scontent-lax3-2.cdninstagram.com/vp/594466647204c3ba77d18cc2db9008d8/5C4DD363/t51.2885-15/e35/42850256_1959612461006270_281968056691443928_n.jpg,Bo2xovzl_zt,"Ohh very nice ! Is the girl wearing a bib? No, right?",@payniv 😂😂,,type of clothing worn by person
10/13/18 11:55,ethanthegarden,https://scontent-lax3-2.cdninstagram.com/vp/0624dcbbac37ae10cd973adabd9b70ce/5C5371CC/t51.2885-15/e35/42669020_1852322158148991_6536921893591580672_n.jpg,Bo4RvhmnGba,"Wow nice ! Is the person wearing a shirt? Yes, right?",@ethanthegarden Yes! 😉 Thank You!,,type of clothing worn by person
10/13/18 11:44,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/52de10ac4cba37d0de12b0049abb9b33/5C487D44/t51.2885-15/e35/43026425_1744024079059392_3894326193115294258_n.jpg,Bo4K25RleL1,"Ohh very nice ! Is the bear in its natural habitat? No, right?","@ceelvancho it is in its own natural habitat, and it is a fox 🦊 not a bear 🐻😊",,
10/13/18 11:29,jeebanon,https://scontent-lax3-2.cdninstagram.com/vp/9e1509846585b106a95731364caaa031/5C3C122A/t51.2885-15/e35/43984602_1853388528113564_8529239887361408052_n.jpg,Bo4Rrw3BoCF,"Ahhh very nice ! Is this a living room? Yes, right?",@jeebanon the shop thansk,,type of room
10/13/18 11:29,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/384c886e5bf795c5c1c18eec53577255/5C3E7650/t51.2885-15/e35/43778420_1237691796371634_2032278580578222080_n.jpg,Bo4K2OihWlZ,"Ohh very nice ! What is the shape of the table? Heart, right?","@bee.amela not a heart, lovely breakfast nook with a round table",,shape of counter
10/13/18 11:24,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/51f61b01f8f9376974a44f73d54a3cca/5C4A25B1/t51.2885-15/e35/43126982_333212187446351_5267873051069930603_n.jpg,Bo4RtJjFxZP,"Wow , very amazing photo here ! Is this a hotel room? Yes, right?","@bee.amela  No, it's a family home. ""Casa"" is the italian word for ""home""",,type of room
10/13/18 11:21,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/f462d13696551c359e68732e59393d0f/5C483844/t51.2885-15/e35/42481540_548144492291240_773270715599066958_n.jpg,Bo4RxENBdrL,"Wow , what an amazing photo here ! What is the primary color of the umbrellas? Blue, right?",@ceelvancho hey! Tks! This pic is from a friend's perfil @marys_g ... I'm not sure about the original primary colour 'cause I don't remember... and here I've used a filter and the primary colour is pink... 😘,,color of stairs
10/13/18 11:13,ethanthegarden,https://scontent-lax3-2.cdninstagram.com/vp/03ebda5fb72fb5079913e8fdf93cc598/5C4346C9/t51.2885-15/e35/42989399_1724855330970697_1674658945423548117_n.jpg,Bo4RqcojJDU,"Ohh very nice ! What is the white stuff on the counter? Food, right?",@ethanthegarden nope,,liquid in glasses
10/13/18 11:09,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/44ce8768b2d8e1f2f755232ff62f27b1/5C622AB0/t51.2885-15/e35/42423825_247863772507382_5860798018617344000_n.jpg,Bo24Id0A72l,"Wow , what an amazing photo here ! What is the tallest object? Fire hydrant, right?",@bee.amela ...😝...🦒,,animal in picture
10/13/18 10:55,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/32ebac8db786eafcba76fc97de99ebb3/5C4F4A24/t51.2885-15/e35/43779330_1999337420125626_5818093566293994119_n.jpg,Bo4K3hClMix,"Looks so good ! Is this a healthy meal? Yes, right?",@ceelvancho Healthy for the soul 😁,,healthiness of food
10/13/18 10:34,payniv,https://scontent-lax3-2.cdninstagram.com/vp/07fb2a25a07e9948a65562c7e6c96889/5C5F830D/t51.2885-15/e35/42935465_298454787419105_2728387678145783204_n.jpg,Bo4K4cYglj_,"Wow , what a very amazing photo here ! Is this a river? Yes, right?",@payniv And thanks for the praise 🙏,,type of landscape
10/13/18 10:27,payniv,https://scontent-lax3-2.cdninstagram.com/vp/07fb2a25a07e9948a65562c7e6c96889/5C5F830D/t51.2885-15/e35/42935465_298454787419105_2728387678145783204_n.jpg,Bo4K4cYglj_,"Wow , what a very amazing photo here ! Is this a river? Yes, right?",@payniv Why did you see the river here? It's a glade in the forest park :),,
10/13/18 10:27,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/8bc82284dc0ac4437720531b355b1363/5C4B2030/t51.2885-15/e35/41744674_337743936771337_1790836801253290949_n.jpg,Bo4K5ddBkok,"Nice photo ! Is the girl wearing a bib? No, right?",@bee.amela it’s a @areyouami dress,,type of clothing worn by person
10/13/18 10:26,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/aa2c5d2a70b1fa82965b2099ad928d8d/5C44B9D4/t51.2885-15/e35/43779548_380913365782545_4395231906728183443_n.jpg,Bo4K414lQoR,"Wow nice ! What kind of animal is this? Cat, right?",@ceelvancho it’s a Norwegian forest cat,,type of animal
10/13/18 9:50,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/084c4bd94e4596e65c8af90178cbff0a/5C3F13C1/t51.2885-15/e35/42903581_483430028825564_4471651396512562723_n.jpg,Bo24UJ7nr6B,"Ohh very nice ! What kind of bird is this? Parrot, right?","@ceelvancho Sandhill Crane, much bigger than a parrot!😄",,type of bird
10/13/18 9:30,payniv,https://scontent-lax3-2.cdninstagram.com/vp/5dc066a53a0931f555e79249c4ab1e7c/5C3C0A69/t51.2885-15/e35/43778716_644965049231572_5118611419860362785_n.jpg,Bo24S5ng-RU,"Ahhhh very nice ! Is this a modern kitchen? Yes, right?","@payniv yes, and it is made by our woodworker 😊",,modernness of kitchen
